Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
Apple Disk Image,application/x-apple-diskimage,.dmg,Apple Disk Image,https://en.wikipedia.org/wiki/Apple_Disk_Image
GPS eXchange Format,application/gpx+xml,.gpx,GPS eXchange Format,https://en.wikipedia.org/wiki/GPS_Exchange_Format
Archive document - Multiple Fils Embedded,application/x-freearc,.arc,FreeArc,https://en.wikipedia.org/wiki/FreeArc
AV1 Image File,image/avif,.avif,AV1 Image File Format,https://en.wikipedia.org/wiki/AVIF
CD Audio,application/x-cdf,.cda,Wikipedia: CDA File,https://en.wikipedia.org/wiki/.cda_fileF
GZip,application/gzip,.gz,Wikipedia: GZip,https://en.wikipedia.org/wiki/Gzip
JSON - Linked Data,application/ld+json,.jsonld,Wikipedia: JSON-LD,https://en.wikipedia.org/wiki/JSON-LD
MIDI,audio/midi,.midi,Wikipedia: MIDI,https://en.wikipedia.org/wiki/Midi
JavaScript Module,text/javascript,.mjs,Wikipedia: Javascript,https://en.wikipedia.org/wiki/Javascript
JavaScript Module,text/javascript,.mjs,ECMAScript modules,https://nodejs.org/docs/latest/api/esm.html
Opus Audio,audio/opus,.opus,Wikipedia: Opus Audio,https://en.wikipedia.org/wiki/Opus_(audio_format)
MPEG Transport Stream,video/mp2t,.ts,Wikipedia: MPEG Transport Stream,https://en.wikipedia.org/wiki/MPEG_transport_stream
