Name,MIME Type / Internet Media Type,File Extension,More Details,More Details_link0
Gnumeric,application/x-gnumeric,.gnumeric,Wikipedia: Gnumeric,https://en.wikipedia.org/wiki/Gnumeric
GNU Tar Files,application/x-gtar,.gtar,GNU Tar,http://www.gnu.org/software/tar/
Hierarchical Data Format,application/x-hdf,.hdf,Wikipedia: Hierarchical Data Format,https://en.wikipedia.org/wiki/Hierarchical_Data_Format
Java Network Launching Protocol,application/x-java-jnlp-file,.jnlp,Wikipedia: Java Web Start,https://en.wikipedia.org/wiki/Java_Web_Start
LaTeX,application/x-latex,.latex,Wikipedia: LaTeX,https://en.wikipedia.org/wiki/LaTeX
Mobipocket,application/x-mobipocket-ebook,.prc,Wikipedia: Mobipocket,https://en.wikipedia.org/wiki/Mobipocket
Microsoft ClickOnce,application/x-ms-application,.application,Wikipedia: ClickOnce,https://en.wikipedia.org/wiki/ClickOnce
Microsoft Windows Media Player Download Package,application/x-ms-wmd,.wmd,Wikipedia: Windows Media Player,https://en.wikipedia.org/wiki/Windows_Media_Player
Microsoft Windows Media Player Skin Package,application/x-ms-wmz,.wmz,Wikipedia: Windows Media Player,https://en.wikipedia.org/wiki/Windows_Media_Player
Microsoft XAML Browser Application,application/x-ms-xbap,.xbap,Wikipedia: XAML Browser,https://en.wikipedia.org/wiki/XAML_Browser_Applications
Microsoft Access,application/x-msaccess,.mdb,Wikipedia: Microsoft Access,https://en.wikipedia.org/wiki/Microsoft_Access
Microsoft Office Binder,application/x-msbinder,.obd,Wikipedia: Microsoft Shared Tools,https://en.wikipedia.org/wiki/Microsoft_Office_shared_tools
Microsoft Information Card,application/x-mscardfile,.crd,Wikipedia: Information Card,https://en.wikipedia.org/wiki/Information_Card
Microsoft Clipboard Clip,application/x-msclip,.clp,Wikipedia: Clipboard,https://en.wikipedia.org/wiki/Clipboard_%28computing%29
Microsoft Application,application/x-msdownload,.exe,Wikipedia: EXE,https://en.wikipedia.org/wiki/EXE
Microsoft MediaView,application/x-msmediaview,.mvb,Windows Help,http://www.herdsoft.com/ti/winhelpcgi/winhelpcgi.cgi/helpfiles/english/hlp2rtf.hlp/id/id_purpose.html
Microsoft Windows Metafile,application/x-msmetafile,.wmf,Wikipedia: Windows Metafile,https://en.wikipedia.org/wiki/Windows_Metafile
Microsoft Money,application/x-msmoney,.mny,Wikipedia: Microsoft Money,https://en.wikipedia.org/wiki/Microsoft_money
Microsoft Publisher,application/x-mspublisher,.pub,Wikipedia: Microsoft Publisher,https://en.wikipedia.org/wiki/Microsoft_Publisher
Microsoft Schedule+,application/x-msschedule,.scd,Wikipedia: Microsoft Schedule Plus,https://en.wikipedia.org/wiki/Microsoft_Schedule_Plus
Microsoft Windows Terminal Services,application/x-msterminal,.trm,Wikipedia: Terminal Server,https://en.wikipedia.org/wiki/Remote_Desktop_Services#Terminal_Server
Microsoft Wordpad,application/x-mswrite,.wri,Wikipedia: Wordpad,https://en.wikipedia.org/wiki/Wordpad
Network Common Data Form (NetCDF),application/x-netcdf,.nc,Wikipedia: NetCDF,https://en.wikipedia.org/wiki/NetCDF
PKCS #12 - Personal Information Exchange Syntax Standard,application/x-pkcs12,.p12,RFC 2986,http://tools.ietf.org/html/rfc2986
PKCS #7 - Cryptographic Message Syntax Standard (Certificates),application/x-pkcs7-certificates,.p7b,RFC 2986,http://tools.ietf.org/html/rfc2986
PKCS #7 - Cryptographic Message Syntax Standard (Certificate Request Response),application/x-pkcs7-certreqresp,.p7r,RFC 2986,http://tools.ietf.org/html/rfc2986
RAR Archive,application/x-rar-compressed,.rar,Wikipedia: RAR,https://en.wikipedia.org/wiki/Rar
Bourne Shell Script,application/x-sh,.sh,Wikipedia: Bourne Shell,https://en.wikipedia.org/wiki/Bourne_shell
Shell Archive,application/x-shar,.shar,Wikipedia: Shell Archie,https://en.wikipedia.org/wiki/Shar
Adobe Flash,application/x-shockwave-flash,.swf,Wikipedia: Adobe Flash,https://en.wikipedia.org/wiki/Swf
Microsoft Silverlight,application/x-silverlight-app,.xap,Wikipedia: Silverlight,https://en.wikipedia.org/wiki/Silverlight
Stuffit Archive,application/x-stuffit,.sit,Wikipedia: Stuffit,https://en.wikipedia.org/wiki/Stuffit
Stuffit Archive,application/x-stuffitx,.sitx,Wikipedia: Stuffit,https://en.wikipedia.org/wiki/Stuffit
System V Release 4 CPIO Archive,application/x-sv4cpio,.sv4cpio,Wikipedia: pax,https://en.wikipedia.org/wiki/Pax_%28Unix%29
System V Release 4 CPIO Checksum Data,application/x-sv4crc,.sv4crc,Wikipedia: pax,https://en.wikipedia.org/wiki/Pax_%28Unix%29
Tar File (Tape Archive),application/x-tar,.tar,Wikipedia: Tar,https://en.wikipedia.org/wiki/Tar_file
Tcl Script,application/x-tcl,.tcl,Wikipedia: Tcl,https://en.wikipedia.org/wiki/Tcl
TeX,application/x-tex,.tex,Wikipedia: TeX,https://en.wikipedia.org/wiki/TeX
TeX Font Metric,application/x-tex-tfm,.tfm,Wikipedia: TeX Font Metric,https://en.wikipedia.org/wiki/TeX_font_metric
GNU Texinfo Document,application/x-texinfo,.texinfo,Wikipedia: Texinfo,https://en.wikipedia.org/wiki/Texinfo
Ustar (Uniform Standard Tape Archive),application/x-ustar,.ustar,Wikipedia: Ustar,https://en.wikipedia.org/wiki/Ustar#UStar_format
WAIS Source,application/x-wais-source,.src,YoLinux,http://www.yolinux.com/TUTORIALS/notes_wais.html
X.509 Certificate,application/x-x509-ca-cert,.der,Wikipedia: X.509,https://en.wikipedia.org/wiki/X.509
Xfig,application/x-xfig,.fig,Wikipedia: Xfig,https://en.wikipedia.org/wiki/Xfig
XPInstall - Mozilla,application/x-xpinstall,.xpi,Wikipedia: XPI,https://en.wikipedia.org/wiki/XPI
XML Configuration Access Protocol - XCAP Diff,application/xcap-diff+xml,.xdf,Wikipedia: XCAP,https://en.wikipedia.org/wiki/XCAP
XML Encryption Syntax and Processing,application/xenc+xml,.xenc,W3C XML Encryption Syntax and Processing,http://www.w3.org/TR/xmlenc-core/
XHTML - The Extensible HyperText Markup Language,application/xhtml+xml,.xhtml,W3C XHTML,http://www.w3.org/TR/xhtml1/
XML - Extensible Markup Language,application/xml,.xml,W3C XML,http://www.w3.org/XML/
Document Type Definition,application/xml-dtd,.dtd,W3C DTD,http://www.w3.org/TR/html4/sgml/dtd.html
XML-Binary Optimized Packaging,application/xop+xml,.xop,W3C XOP,http://www.w3.org/TR/xop10/
XML Transformations,application/xslt+xml,.xslt,W3C XSLT,http://www.w3.org/TR/xslt
XSPF - XML Shareable Playlist Format,application/xspf+xml,.xspf,XML Shareable Playlist Format,http://www.xspf.org/quickstart/
MXML,application/xv+xml,.mxml,Wikipedia: MXML,https://en.wikipedia.org/wiki/MXML
YANG Data Modeling Language,application/yang,.yang,Wikipedia: YANG,https://en.wikipedia.org/wiki/YANG
YIN (YANG - XML),application/yin+xml,.yin,Wikipedia: YANG,https://en.wikipedia.org/wiki/YANG
Zip Archive,application/zip,.zip,Wikipedia: Zip,https://en.wikipedia.org/wiki/ZIP_%28file_format%29
Adaptive differential pulse-code modulation,audio/adpcm,.adp,Wikipedia: ADPCM,https://en.wikipedia.org/wiki/ADPCM
Sun Audio - Au file format,audio/basic,.au,Wikipedia: Sun audio,https://en.wikipedia.org/wiki/Sun_Audio
MIDI - Musical Instrument Digital Interface,audio/midi,.mid,Wikipedia: MIDI,https://en.wikipedia.org/wiki/Midi
MPEG-4 Audio,audio/mp4,.mp4a,Wikipedia: MP4A,https://en.wikipedia.org/wiki/Mp4a
MPEG Audio,audio/mpeg,.mpga,Wikipedia: MPGA,https://en.wikipedia.org/wiki/MPEG-1_Audio_Layer_II
Ogg Audio,audio/ogg,.oga,Wikipedia: Ogg,https://en.wikipedia.org/wiki/Ogg
DECE Audio,audio/vnd.dece.audio,.uva,IANA: Dece Audio,http://www.iana.org/assignments/media-types/audio/vnd.dece.audio
Digital Winds Music,audio/vnd.digital-winds,.eol,IANA: Digital Winds,http://www.iana.org/assignments/media-types/audio/vnd.digital-winds
DRA Audio,audio/vnd.dra,.dra,IANA: DRA,http://www.iana.org/assignments/media-types/audio/vnd.dra
DTS Audio,audio/vnd.dts,.dts,IANA: DTS,http://www.iana.org/assignments/media-types/audio/vnd.dts
DTS High Definition Audio,audio/vnd.dts.hd,.dtshd,IANA: DTS HD,http://www.iana.org/assignments/media-types/audio/vnd.dts.hd
Lucent Voice,audio/vnd.lucent.voice,.lvp,IANA: Lucent Voice,http://www.iana.org/assignments/media-types/audio/vnd.lucent.voice
Microsoft PlayReady Ecosystem,audio/vnd.ms-playready.media.pya,.pya,IANA: Microsoft PlayReady Ecosystem,http://www.iana.org/assignments/media-types/audio/vnd.ms-playready.media.pya
Nuera ECELP 4800,audio/vnd.nuera.ecelp4800,.ecelp4800,IANA: ECELP 4800,http://www.iana.org/assignments/media-types/audio/vnd.nuera.ecelp4800
Nuera ECELP 7470,audio/vnd.nuera.ecelp7470,.ecelp7470,IANA: ECELP 7470,http://www.iana.org/assignments/media-types/audio/vnd.nuera.ecelp7470
Nuera ECELP 9600,audio/vnd.nuera.ecelp9600,.ecelp9600,IANA: ECELP 9600,http://www.iana.org/assignments/media-types/audio/vnd.nuera.ecelp9600
Hit'n'Mix,audio/vnd.rip,.rip,IANA: Hit'n'Mix,http://www.iana.org/assignments/media-types/audio/vnd.rip
Open Web Media Project - Audio,audio/webm,.weba,WebM Project,http://www.webmproject.org/about/faq/
Advanced Audio Coding (AAC),audio/x-aac,.aac,Wikipedia: AAC,https://en.wikipedia.org/wiki/Advanced_Audio_Coding
Audio Interchange File Format,audio/x-aiff,.aif,Wikipedia: Audio Interchange File Format,https://en.wikipedia.org/wiki/Audio_Interchange_File_Format
M3U (Multimedia Playlist),audio/x-mpegurl,.m3u,Wikipedia: M3U,https://en.wikipedia.org/wiki/M3u
Microsoft Windows Media Audio Redirector,audio/x-ms-wax,.wax,Windows Media Metafiles,http://www.microsoft.com/windows/windowsmedia/howto/articles/introwmmeta.aspx
Microsoft Windows Media Audio,audio/x-ms-wma,.wma,Wikipedia: Windows Media Audio,https://en.wikipedia.org/wiki/Windows_Media_Audio
Real Audio Sound,audio/x-pn-realaudio,.ram,Wikipedia: RealPlayer,https://en.wikipedia.org/wiki/RealPlayer
Real Audio Sound,audio/x-pn-realaudio-plugin,.rmp,Wikipedia: RealPlayer,https://en.wikipedia.org/wiki/RealPlayer
Waveform Audio File Format (WAV),audio/x-wav,.wav,Wikipedia: WAV,https://en.wikipedia.org/wiki/Wav
ChemDraw eXchange file,chemical/x-cdx,.cdx,ChemDraw eXchange file,http://www.cambridgesoft.com/services/documentation/sdk/chemdraw/cdx/
Crystallographic Interchange Format,chemical/x-cif,.cif,Crystallographic Interchange Format,http://www.iucr.org/resources/cif
CrystalMaker Data Format,chemical/x-cmdf,.cmdf,CrystalMaker Data Format,http://www.crystalmaker.com/crystalmaker/whatis.html
Chemical Markup Language,chemical/x-cml,.cml,Wikipedia: Chemical Markup Language,https://en.wikipedia.org/wiki/Chemical_Markup_Language
Chemical Style Markup Language,chemical/x-csml,.csml,Wikipedia: Chemical Style Markup Language,https://en.wikipedia.org/wiki/Chemical_file_format
XYZ File Format,chemical/x-xyz,.xyz,Wikipedia: XYZ File Format,https://en.wikipedia.org/wiki/XYZ_file_format
Bitmap Image File,image/bmp,.bmp,Wikipedia: BMP File Format,https://en.wikipedia.org/wiki/BMP_file_format
Computer Graphics Metafile,image/cgm,.cgm,Wikipedia: Computer Graphics Metafile,https://en.wikipedia.org/wiki/Computer_Graphics_Metafile
G3 Fax Image,image/g3fax,.g3,Wikipedia: G3 Fax Image,https://en.wikipedia.org/wiki/T.38
Graphics Interchange Format,image/gif,.gif,Wikipedia: Graphics Interchange Format,https://en.wikipedia.org/wiki/Gif
Image Exchange Format,image/ief,.ief,RFC 1314,http://www.rfc-editor.org/rfc/rfc1314.txt
JPEG Image,image/jpeg,".jpeg, .jpg",RFC 1314,http://www.rfc-editor.org/rfc/rfc1314.txt
JPEG Image (Progressive),image/pjpeg,.pjpeg,JPEG image compression FAQ,http://www.faqs.org/faqs/jpeg-faq/part1/section-11.html
OpenGL Textures (KTX),image/ktx,.ktx,KTX File Format,http://www.khronos.org/opengles/sdk/tools/KTX/file_format_spec/
Portable Network Graphics (PNG),image/png,.png,RFC 2083,http://tools.ietf.org/html/rfc2083
Portable Network Graphics (PNG) (x-token),image/x-png,.png,RFC 2083,http://tools.ietf.org/html/rfc2083
Portable Network Graphics (PNG) (Citrix client),image/x-citrix-png,.png,RFC 2083,http://tools.ietf.org/html/rfc2083
BTIF,image/prs.btif,.btif,IANA: BTIF,http://www.iana.org/assignments/media-types/image/prs.btif
Scalable Vector Graphics (SVG),image/svg+xml,.svg,Wikipedia: SVG,https://en.wikipedia.org/wiki/Scalable_Vector_Graphics
Tagged Image File Format,image/tiff,.tiff,Wikipedia: TIFF,https://en.wikipedia.org/wiki/Tagged_Image_File_Format
Photoshop Document,image/vnd.adobe.photoshop,.psd,Wikipedia: Photoshop Document,https://en.wikipedia.org/wiki/Adobe_Photoshop#Features
